"Driver","ChannelType","Channel","SignalType","SceneAddress","Name","Key"
"SiemensS7PLCSIM","BitInput","0","BinaryInput","47","Blue Base Camera","27bb5605-7f36-4e4f-b7aa-5e7d97ebbefe"
"SiemensS7PLCSIM","BitInput","1","BinaryInput","45","Blue Lid Camera","ca62ac4e-354c-44b8-8c03-906ca8d2c84a"
"SiemensS7PLCSIM","BitInput","2","BinaryInput","43","Green Base Camera","920c4621-b24a-4281-8fe8-de6753a4ba68"
"SiemensS7PLCSIM","BitInput","3","BinaryInput","44","Green Lid Camera","d12dc050-5d5a-481b-9bd8-56206269a3b8"
"SiemensS7PLCSIM","BitInput","4","BinaryInput","46","Write Sensor","a5e3b5ca-7c91-412e-88f6-fadef325bdd5"
"SiemensS7PLCSIM","BitInput","5","BinaryInput","41","Read Sensor Sorter 1","e1fdee75-64de-4d60-994c-da9a456f7623"
"SiemensS7PLCSIM","BitInput","6","BinaryInput","42","Read Sensor Sorter 2","aa6428cb-74d9-446d-b9ee-09621d8ff1a7"
"SiemensS7PLCSIM","BitInput","7","BinaryInput","49","Reset Virtual Counter","cd1035be-09c3-41a5-b6ec-87d4bd3012b1"
"SiemensS7PLCSIM","BitInput","9","BinaryInput","33","Blue Base Grab Sensor","fe0f98d8-2b80-4914-a4d9-171f41af3d87"
"SiemensS7PLCSIM","BitInput","10","BinaryInput","66","Blue Base Positioner Sensor","df0097d2-1565-4b5e-8d8a-c2e714bd5364"
"SiemensS7PLCSIM","BitInput","11","BinaryInput","14","Blue Base Positioner (Clamp Sensor)","9d0d38ef-83d0-4ea6-b34b-bd8bdc9c131a"
"SiemensS7PLCSIM","BitInput","12","BinaryInput","51","Blue Base Stop Roller Sensor","4342cb61-c772-4cf8-85ac-eb8dcf3c2544"
"SiemensS7PLCSIM","BitInput","13","BinaryInput","38","Blue Lid Grab Sensor","f9962dd6-4b67-49ce-aac0-5ab2861babd7"
"SiemensS7PLCSIM","BitInput","14","BinaryInput","67","Blue Lid Positioner Sensor","34c9267d-5f0d-49cf-9479-cf2c33fc1aba"
"SiemensS7PLCSIM","BitInput","15","BinaryInput","16","Blue Lid Positioner (Clamp Sensor)","e8f6d0eb-131c-4189-be58-ccb755e2a4fd"
"SiemensS7PLCSIM","BitInput","16","BinaryInput","50","Blue Lid Stop Roller Sensor","0b4caae4-e0a5-4f10-b762-049fe899e833"
"SiemensS7PLCSIM","BitInput","17","BinaryInput","23","Green Base Grab Sensor","82f3a775-b0b7-4504-a814-7cbc86ab223a"
"SiemensS7PLCSIM","BitInput","18","BinaryInput","65","Green Base Positioner Sensor","99b35c9c-5125-4d01-ba9d-ff8a5f893dd4"
"SiemensS7PLCSIM","BitInput","19","BinaryInput","18","Green Base Positioner(Clamp Sensor","933b11cf-effa-4f89-abe4-bb1b65130e31"
"SiemensS7PLCSIM","BitInput","20","BinaryInput","53","Green Base Stop Roller Sensor","3cf2c2e7-727d-4cf2-b7f6-a14ad8bdb2ba"
"SiemensS7PLCSIM","BitInput","21","BinaryInput","28","Green Lid Grab Sensor","d170308c-c0fc-479b-aa09-75fb973efb85"
